Work experience,Education,Company size,Amount,Designation,Currency,Status,Year
4_to_6,bachelors_degree,10_to_20,200000,senior_software_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,640000,senior_business_analyst,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,212000,software_engineer,LKR,approved,2022
4_to_6,masters,more_than_500,280000,associate_qa_lead,LKR,approved,2022
1_to_3,diploma,more_than_500,112000,frontend_developer,LKR,approved,2022
7_to_9,masters,more_than_500,380000,lead_system_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,400000,associate_technical_lead,LKR,approved,2022
15+,bachelors_degree,100_to_500,450000,associate_architecture,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,100000,associate_software_engineer,LKR,approved,2022
15+,bachelors_degree,more_than_500,1920000,senior_development_manager,LKR,approved,2022
10_to_14,masters,50_to_100,200000,senior_network_engineer,LKR,approved,2022
0_to_1,diploma,50_to_100,320000,network_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,210000,associate_reliability_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,200000,ui_ux_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,280000,associate_qa_lead,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,120000,software_engineer,LKR,approved,2022
1_to_3,higher_diploma,20_to_50,75000,software_engineer,LKR,approved,2022
0_to_1,diploma,50_to_100,160000,software_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,702400,technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,10_to_20,80000,business_analyst,LKR,approved,2022
4_to_6,bachelors_degree,below_10,250000,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,530560,devops_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,320000,senior_devops_engineer,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,210000,senior_business_analyst,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,960000,senior_system_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,352000,ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,416000,ui_ux_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,235000,ui_ux_engineer,LKR,approved,2022
0_to_1,higher_diploma,100_to_500,112360,associate_devops_engineer,LKR,approved,2022
7_to_9,bachelors_degree,100_to_500,450000,senior_devops_engineer,LKR,approved,2022
0_to_1,bachelors_degree,more_than_500,150000,associate_qa_engineer,LKR,approved,2022
1_to_3,bachelors_degree,10_to_20,100000,associate_software_engineer,LKR,approved,2022
0_to_1,higher_diploma,20_to_50,130000,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,230000,senior_frontend_engineer,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,441600,senior_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,120416,associate_software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,20_to_50,100000,business_analyst,LKR,approved,2022
4_to_6,bachelors_degree,50_to_100,325000,associate_technical_lead,LKR,approved,2022
0_to_1,bachelors_degree,10_to_20,125000,business_analyst,LKR,approved,2022
1_to_3,bachelors_degree,100_to_500,302400,software_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,165000,senior_software_engineer,LKR,approved,2021
4_to_6,bachelors_degree,100_to_500,300000,associate_technical_lead,LKR,approved,2021
4_to_6,higher_diploma,100_to_500,231387,system_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,278400,senior_business_analyst,LKR,approved,2022
4_to_6,bachelors_degree,20_to_50,430000,senior_software_engineer,LKR,approved,2022
10_to_14,masters,more_than_500,2560000,architecture,LKR,approved,2022
4_to_6,bachelors_degree,more_than_500,260000,senior_qa_engineer,LKR,approved,2022
4_to_6,bachelors_degree,below_10,420000,senior_technical_consultant,LKR,approved,2022
0_to_1,bachelors_degree,100_to_500,140000,system_engineer,LKR,approved,2022
1_to_3,bachelors_degree,more_than_500,80000,system_engineer,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,180000,devops_engineer,LKR,approved,2022
10_to_14,higher_diploma,more_than_500,2560000,senior_technical_consultant,LKR,approved,2022
4_to_6,bachelors_degree,100_to_500,230000,senior_software_engineer,LKR,approved,2022
